"w1","w2","w3","w4","iportfolio","sdp","sharp","des"
0,0.08,0.02,0.9,-0.000202349056603774,0.00207981644154548,-0.0972917862181197,"Minimal risk portfolio"
1,0,0,0,0.00129915094339623,0.00989908780000648,0.131239460609227,"Maximum efficiency portfolio"
1,0,0,0,0.00129915094339623,0.00989908780000648,0.131239460609227,"Maximum rate of return portfolio"
1,0,0,0,0.00129915094339623,0.00989908780000648,0.131239460609227,"Max weight one portfolio"
0,1,0,0,-0.0020288679245283,0.0161910576330772,-0.125307930495131,"Max weight two portfolio"
0,0,1,0,7.3962264150943e-05,0.0154054306243731,0.00480105139248276,"Max weight three portfolio"
0,0,0,1,-4.6132075471698e-05,0.00254800260549867,-0.0181051916399706,"Max weight four portfolio"
