"","Data","Otwarcie","Najwyzszy","Najnizszy","Zamkniecie","log_return","pct_change"
"58",2024-09-18,4.2737,4.28605,4.26548,4.27175,-0.00047276234509381,-0.0472650610585013
"59",2024-09-19,4.27225,4.27693,4.26484,4.27507,0.000776897177426923,0.0777199040206106
"60",2024-09-20,4.27533,4.28077,4.26944,4.2696,-0.00128033048607469,-0.127951121268207
"61",2024-09-23,4.27095,4.28203,4.26851,4.27035,0.000175645056921357,0.0175660483417657
"62",2024-09-24,4.2703,4.27251,4.25327,4.25592,-0.00338483622432313,-0.337911412413501
"63",2024-09-25,4.25597,4.27137,4.25325,4.26819,0.00287889491677502,0.28830429143405
"64",2024-09-26,4.26755,4.27962,4.26254,4.27496,0.00158489583283168,0.158615244401032
"65",2024-09-27,4.27503,4.28023,4.27072,4.27648,0.00035549568634252,0.0355558882422336
"66",2024-09-30,4.27434,4.28551,4.26861,4.28204,0.00129929024695367,0.130013469021251
"67",2024-10-01,4.28196,4.29111,4.27995,4.28807,0.0014072167090225,0.140820730306115
"68",2024-10-02,4.28789,4.29984,4.28547,4.29475,0.00155659826229649,0.155781039022202
"69",2024-10-03,4.29463,4.31166,4.29297,4.30863,0.00322664163208065,0.323185284358818
"70",2024-10-04,4.30842,4.3184,4.30473,4.31698,0.00193609555922604,0.193797100238361
"71",2024-10-07,4.31289,4.32567,4.312,4.32291,0.00137270287727378,0.137364546511687
"72",2024-10-08,4.32212,4.32415,4.30097,4.30426,-0.00432355663612733,-0.431422352073026
"73",2024-10-09,4.30432,4.31026,4.29107,4.29619,-0.00187664654021866,-0.187488674011329
"74",2024-10-10,4.29625,4.30862,4.29314,4.30151,0.00123754043034025,0.123830649947982
"75",2024-10-11,4.3014,4.30411,4.28764,4.29116,-0.00240903118715359,-0.240613180022847
"76",2024-10-14,4.29333,4.29642,4.28663,4.29373,0.000598726384793254,0.0598905657211664
"77",2024-10-15,4.2933,4.29659,4.29013,4.29223,-0.000349407641139944,-0.0349346605399049
"78",2024-10-16,4.29214,4.30334,4.29183,4.2997,0.00173884142030299,0.174035408167774
"79",2024-10-17,4.29992,4.32144,4.29872,4.30606,0.00147808006681631,0.147917296555592
"80",2024-10-18,4.30602,4.31158,4.30083,4.30573,-7.66391191988099e-05,-0.00766361824964886
"81",2024-10-21,4.30448,4.3213,4.30448,4.31987,0.00327861543922254,0.328399597745336
"82",2024-10-22,4.3197,4.32524,4.3096,4.32181,0.000448986778633351,0.044908758828397
"83",2024-10-23,4.32053,4.34919,4.32019,4.34549,0.00546422967230257,0.54791858040959
"84",2024-10-24,4.34539,4.34823,4.33854,4.34424,-0.0002876959373011,-0.0287654556793308
"85",2024-10-25,4.34421,4.35454,4.34209,4.34794,0.00085133999145754,0.0851702484209035
"86",2024-10-28,4.34592,4.3541,4.34482,4.34961,0.000384016193186091,0.0384089936843618
"87",2024-10-29,4.34945,4.35557,4.33658,4.33971,-0.00227866030567204,-0.227606613006684
"88",2024-10-30,4.33987,4.35769,4.32853,4.35482,0.00347575204451621,0.348179947508012
"89",2024-10-31,4.35438,4.35568,4.34558,4.35242,-0.000551265397710039,-0.0551113478857848
"90",2024-11-01,4.35251,4.36471,4.35171,4.36313,0.00245767745945083,0.246070002435416
"91",2024-11-04,4.35633,4.36035,4.33572,4.35493,-0.00188115301297222,-0.187938475360568
"92",2024-11-05,4.35518,4.36736,4.35277,4.35512,4.36277633377803e-05,0.0043628715042472
"93",2024-11-06,4.35534,4.3756,4.33977,4.35291,-0.00050757749972121,-0.0507448704054242
"94",2024-11-07,4.35291,4.35486,4.30875,4.31306,-0.0091969579606412,-0.91547952978581
"95",2024-11-08,4.31347,4.33,4.31151,4.32718,0.00326843063847829,0.327377778189966
"96",2024-11-11,4.32519,4.36532,4.32457,4.35657,0.00676899086658707,0.679195226452317
"97",2024-11-12,4.35641,4.36747,4.34845,4.35246,-0.000943848007209881,-0.0943402722784171
"98",2024-11-13,4.35477,4.35834,4.33453,4.3394,-0.00300511279022276,-0.300060195843257
"99",2024-11-14,4.33883,4.34519,4.32086,4.32444,-0.00345343747530685,-0.344748121860172
"100",2024-11-15,4.324,4.32941,4.3152,4.31717,-0.00168255723531002,-0.168114252943736
"101",2024-11-18,4.33272,4.33866,4.31194,4.31715,-4.63267518465282e-06,-0.000463266445382763
"102",2024-11-19,4.31545,4.33592,4.31319,4.33374,0.0038354482226654,0.384281296688785
"103",2024-11-20,4.33371,4.3437,4.32713,4.33503,0.000297620079785665,0.0297664373035764
"104",2024-11-21,4.3368,4.35302,4.33243,4.34415,0.00210158179843053,0.210379166926186
"105",2024-11-22,4.34536,4.34865,4.33354,4.33579,-0.00192628119204103,-0.192442710311562
"106",2024-11-25,4.34097,4.34151,4.30657,4.31296,-0.00527938789451297,-0.526547641836895
"107",2024-11-26,4.31296,4.32653,4.30299,4.30667,-0.00145945965580583,-0.145839516248699
